  Time  Potential_Energy  Kinetic_Energy  Total_Energy  Temperature  Moment of Cen
  0.14400001      -5.6097159      0.75212038      -4.8575954      0.50167924      1.43701598E-07
  0.14500001      -5.6093888      0.75135177      -4.8580370      0.50141358      2.09147757E-07
  0.14600001      -5.6084089      0.75024110      -4.8581676      0.50090116      3.96774027E-07
  0.14700000      -5.6068263      0.74881822      -4.8580079      0.50016075      3.02827374E-07
  0.14800000      -5.6046886      0.74711293      -4.8575759      0.49921215      1.40577271E-07
  0.14900000      -5.6020603      0.74517721      -4.8568830      0.49807528      1.79433741E-07
  0.15000001      -5.5990257      0.74782866      -4.8511972      0.49678481      2.33240073E-07
  0.15100001      -5.5955534      0.74544913      -4.8501043      0.49855244      2.90859049E-07
  0.15200001      -5.5916800      0.74287653      -4.8488035      0.49696609      2.42573321E-07
  0.15300001      -5.5874271      0.74012512      -4.8473020      0.49525103      1.36571401E-07
  0.15400001      -5.5828166      0.73720157      -4.8456149      0.49341676      7.50551237E-07
  0.15500000      -5.5778518      0.73410672      -4.8437452      0.49146771      9.99600260E-08
  0.15600000      -5.5725265      0.73083657      -4.8416901      0.48940447      4.21731812E-07
  0.15700001      -5.5668364      0.72738361      -4.8394527      0.48722437      2.19001450E-07
  0.15800001      -5.5607638      0.72373408      -4.8370299      0.48492241      4.90834395E-07
  0.15900001      -5.5542908      0.71987522      -4.8344154      0.48248938      3.12924385E-07
  0.16000001      -5.5473990      0.74581915      -4.8015800      0.47991681      1.91408887E-07
  0.16100001      -5.5398493      0.74135691      -4.7984924      0.49721277      3.25446280E-07
  0.16200000      -5.5317693      0.73659253      -4.7951765      0.49423793      1.71848569E-07
  0.16300000      -5.5231295      0.73150420      -4.7916250      0.49106169      3.95653188E-07
  0.16400000      -5.5139070      0.72607833      -4.7878284      0.48766947      4.62896367E-07
  0.16500001      -5.5041051      0.72031134      -4.7837939      0.48405221      2.00474616E-07
  0.16600001      -5.4937334      0.71419406      -4.7795391      0.48020756      1.52691470E-07
  0.16700001      -5.4828300      0.70774573      -4.7750845      0.47612938      2.02129186E-07
  0.16800001      -5.4713993      0.70096725      -4.7704320      0.47183049      1.40577271E-07
  0.16900001      -5.4594822      0.69388479      -4.7655973      0.46731150      8.56006537E-08
  0.17000000      -5.4471378      0.74233997      -4.7047977      0.46258986      2.48004739E-07
  0.17100000      -5.4337959      0.73437333      -4.6994228      0.49489331      2.81154541E-07
  0.17200001      -5.4200697      0.72615999      -4.6939096      0.48958221      3.20980831E-07
  0.17300001      -5.4060774      0.71776772      -4.6883097      0.48410666      2.81154541E-07
  0.17400001      -5.3919578      0.70927680      -4.6826811      0.47851181      1.20137003E-07
  0.17500001      -5.3778644      0.70078135      -4.6770830      0.47285119      1.36571401E-07
  0.17600001      -5.3639765      0.69237238      -4.6716042      0.46718755      1.93715096E-07
  0.17700000      -5.3504443      0.68414849      -4.6662960      0.46158159      3.20980831E-07
  0.17800000      -5.3374367      0.67620713      -4.6612296      0.45609900      7.30004857E-08
  0.17900001      -5.3251100      0.66864699      -4.6564631      0.45080474      3.84265093E-07
  0.18000001      -5.3136249      0.74245918      -4.5711656      0.44576466      1.95994176E-07
  0.18100001      -5.3022056      0.73539490      -4.5668106      0.49497280      2.25495484E-07
  0.18200001      -5.2917485      0.72888607      -4.5628624      0.49026325      2.81154541E-07
  0.18300001      -5.2823663      0.72299826      -4.5593681      0.48592404      4.57103909E-07
  0.18400002      -5.2741537      0.71778476      -4.5563688      0.48199883      1.23778335E-07
  0.18500000      -5.2671609      0.71327388      -4.5538869      0.47852316      1.40577271E-07
  0.18600000      -5.2614036      0.70947760      -4.5519261      0.47551593      5.09262293E-07
  0.18700001      -5.2568746      0.70639044      -4.5504842      0.47298506      1.63234049E-07
  0.18800001      -5.2535353      0.70398957      -4.5495458      0.47092697      3.53882967E-07
  0.18900001      -5.2513199      0.70223445      -4.5490856      0.46932638      2.51560550E-07
  0.19000001      -5.2501435      0.74878001      -4.5013638      0.46815631      1.66600046E-07
  0.19100001      -5.2497287      0.74804568      -4.5016832      0.49918666      1.93715096E-07
  0.19200000      -5.2500396      0.74772465      -4.5023150      0.49869713      2.27456354E-07
  0.19300000      -5.2509432      0.74773204      -4.5032110      0.49848309      1.40577271E-07
  0.19400001      -5.2522864      0.74798506      -4.5043015      0.49848804      2.95027945E-07
  0.19500001      -5.2539320      0.74840450      -4.5055275      0.49865672      4.56131346E-07
  0.19600001      -5.2557487      0.74890888      -4.5068398      0.49893633      2.02677711E-07
  0.19700001      -5.2576051      0.74942642      -4.5081787      0.49927258      4.43043376E-07
  0.19800001      -5.2593865      0.74988890      -4.5094976      0.49961761      2.40274005E-07
  0.19900002      -5.2609825      0.75023818      -4.5107441      0.49992594      2.18112490E-07
  0.20000000      -5.2623115      0.75019050      -4.5121212      0.50015879      2.07013542E-07
  0.20100001      -5.2633057      0.75018150      -4.5131240      0.50012702      3.33283396E-07
  0.20200001      -5.2639370      0.74998915      -4.5139480      0.50012100      2.84686280E-07
  0.20300001      -5.2642884      0.74955660      -4.5147319      0.49999276      2.94368647E-07
  0.20400001      -5.2641888      0.74886572      -4.5153232      0.49970439      1.86264515E-07
  0.20500001      -5.2636418      0.74791908      -4.5157228      0.49924383      3.91988351E-07
  0.20600002      -5.2626667      0.74672550      -4.5159411      0.49861273      4.58074396E-07
  0.20700002      -5.2612572      0.74528885      -4.5159683      0.49781701      4.16166785E-07
  0.20800000      -5.2594314      0.74362659      -4.5158048      0.49685922      4.98910822E-07
  0.20900001      -5.2572284      0.74176043      -4.5154681      0.49575105      3.40125325E-07
  0.21000001      -5.2546921      0.74794507      -4.5067472      0.49450696      1.50678673E-07
  0.21100001      -5.2518315      0.74573100      -4.5061007      0.49863005      3.65686162E-07
  0.21200001      -5.2487106      0.74338686      -4.5053239      0.49715400      3.51364207E-07
  0.21300001      -5.2453775      0.74094224      -4.5044355      0.49559125      2.33240073E-07
  0.21400002      -5.2418861      0.73842698      -4.5034590      0.49396148      1.03238271E-07
  0.21500000      -5.2382822      0.73586822      -4.5024137      0.49228466      3.87430191E-07
  0.21600001      -5.2346387      0.73330510      -4.5013337      0.49057880      4.16433465E-07
  0.21700001      -5.2310133      0.73076421      -4.5002489      0.48887005      4.86574834E-07
  0.21800001      -5.2274733      0.72827101      -4.4992023      0.48717615      2.05533425E-07
  0.21900001      -5.2239976      0.72582424      -4.4981732      0.48551401      1.25384656E-06
  0.22000001      -5.2206192      0.74759364      -4.4730253      0.48388287      2.88944250E-07
  0.22100002      -5.2172875      0.74524295      -4.4720445      0.49839577      9.46692921E-07
  0.22200002      -5.2140360      0.74295956      -4.4710765      0.49682859      3.93190220E-07
  0.22300000      -5.2108884      0.74074674      -4.4701414      0.49530637      6.61760907E-07
  0.22400001      -5.2078409      0.73860753      -4.4692335      0.49383116      2.44397228E-07
  0.22500001      -5.2048998      0.73654395      -4.4683557      0.49240503      3.38489315E-07
  0.22600001      -5.2020845      0.73456246      -4.4675221      0.49102929      2.74864846E-07
  0.22700001      -5.1993923      0.73265040      -4.4667420      0.48970830      2.14939888E-07
  0.22800002      -5.1967988      0.73080271      -4.4659963      0.48843360      7.79574293E-07
